,Movie,Year,Rating
0,Pather Panchali,1955,8.5
1,Ratsasan,2018,8.5
2,Gol Maal,1979,8.5
3,Nayakan,1987,8.5
4,Anbe Sivam,2003,8.5
5,Apur Sansar,1959,8.4
6,Natsamrat,2016,8.4
7,Pariyerum Perumal,2018,8.4
8,Kireedam,1989,8.4
9,Black Friday,2004,8.4
10,Manichitrathazhu,1993,8.4
11,Thevar Magan,1992,8.4
12,96,2018,8.4
13,Kumbalangi Nights,2019,8.4
14,3 Idiots,2009,8.4
15,Taare Zameen Par,2007,8.3
16,Visaaranai,2015,8.3
17,Thalapathi,1991,8.3
18,Aparajito,1956,8.3
19,Anand,1971,8.3
20,Jaane Bhi Do Yaaro,1983,8.3
21,Asuran,2019,8.3
22,Pyaasa,1957,8.3
23,Guide,1965,8.3
24,Kannathil Muthamittal,2002,8.2
25,Chupke Chupke,1975,8.2
26,Vikram Vedha,2017,8.2
27,Jersey,2019,8.2
28,Kaithi,2019,8.2
29,Thani Oruvan,2015,8.2
30,Vada Chennai,2018,8.2
31,Soorarai Pottru,2020,8.2
32,Drishyam,2013,8.2
33,Khosla Ka Ghosla!,2006,8.2
34,Aruvi,2016,8.2
35,Peranbu,2018,8.2
36,Super Deluxe,2019,8.2
37,Agent Sai Srinivasa Athreya,2019,8.2
38,Tumbbad,2018,8.2
39,Andhadhun,2018,8.2
40,Mahanati,2018,8.2
41,Kaakkaa Muttai,2014,8.2
42,Premam,2015,8.2
43,Dhuruvangal Pathinaaru,2016,8.2
44,Satya,1998,8.2
45,Shahid,2012,8.2
46,Bangalore Days,2014,8.1
47,Soodhu Kavvum,2013,8.1
48,Mudhalvan,1999,8.1
49,Anniyan,2005,8.1
50,Gangs of Wasseypur,2012,8.1
51,Papanasam,2015,8.1
52,Jigarthanda,2014,8.1
53,Bhaag Milkha Bhaag,2013,8.1
54,Paan Singh Tomar,2012,8.1
55,Talvar,2015,8.1
56,"Swades: We, the People",2004,8.1
57,Drishyam,2015,8.1
58,Sholay,1975,8.1
59,Hera Pheri,2000,8.1
60,Nil Battey Sannata,2015,8.1
61,Pithamagan,2003,8.1
62,Black,2005,8.1
63,Chak De! India,2007,8.1
64,Jo Jeeta Wohi Sikandar,1992,8.1
65,Sairat,2016,8.1
66,Mughal-E-Azam,1960,8.1
67,Charulata,1964,8.1
68,Rang De Basanti,2006,8.1
69,Ustad Hotel,2012,8.1
70,Queen,2013,8.1
71,Udaan,2010,8.1
72,Article 15,2019,8.1
73,Zindagi Na Milegi Dobara,2011,8.1
74,A Wednesday,2008,8.1
75,Dil Chahta Hai,2001,8.1
76,Munna Bhai M.B.B.S.,2003,8.1
77,Sarfarosh,1999,8.1
78,Masaan,2015,8.1
79,Andaz Apna Apna,1994,8.1
80,OMG: Oh My God!,2012,8.1
81,Roja,1992,8.1
82,Lagaan: Once Upon a Time in India,2001,8.1
83,Maheshinte Prathikaaram,2016,8.1
84,Theeran adhigaaram ondru,2017,8.1
85,Kahaani,2012,8.1
86,Alai Payuthey,2000,8.1
87,PK,2014,8.1
88,Baasha,1995,8.1
89,Uri: The Surgical Strike,2018,8.1
90,Iqbal,2005,8.1
91,Pink,2016,8.0
92,Barfi!,2012,8.0
93,The Legend of Bhagat Singh,2002,8.0
94,Bommarillu,2006,8.0
95,Lucia,2013,8.0
96,Bombay,1995,8.0
97,Maqbool,2003,8.0
98,Omkara,2006,8.0
99,Section 375,2019,8.0
